stadium,team,league,country,lat,lon
11 June Stadium,Al-Ahly/Al-Ittihad,,LBY,34.433300,35.850000
AAMI Park,Melbourne Victory FC,,AUS,28.078200,-80.753400
AAMI Stadium,Adelaide Crows FC,,AUS,-34.928700,138.598600
ABSA Stadium,The Sharks,,ZAF,-29.857900,31.029200
Abuja Stadium,National Stadium,,NGA,9.083300,7.533300
ACA-VDCA Stadium,Deccan Chargers,,IND,17.700000,83.300000
Adelaide Oval,Southern Redbacks,,AUS,-34.928700,138.598600
Ademar da Costa Carvalho,Sport Club do Recife,,BRA,-8.050000,-34.900000
Aggie Memorial Stadium,New Mexico State Aggies,,USA,32.304700,-106.641700
Aintree Racecourse,Grand National Race,,GBR,43.153200,-76.211600
Ajinamoto Stadium,FC Tokyo,,JPN,35.685000,139.751400
Al Shaab Stadium,National Stadium,,IRQ,33.338600,44.393900
Alamodome,Alamo Bowl,,USA,29.424400,-98.484200
Albert Park F1 Circuit,Race-use,,AUS,28.078200,-80.753400
Alberto J. Armando,CA Boca Juniors,,ARG,-34.587500,-58.672500
Alberto Tavares Silva,EC Flamengo,,BRA,-5.083300,-42.816700
Alejandro Villanueva,Alianza Lima,,PER,40.798800,-84.131900
Aleppo Int'l Stadium,Al-Ittihad,,SYR,39.784800,-80.488400
Aloha Stadium,Hawai'i Rainbow Warriors,,USA,21.320900,-157.838900
Alumni Stadium,Boston College Eagles,,USA,42.349600,-71.074600
AMI Stadium,Canterbury RFU,,NZL,-43.533300,172.633300
Amon Carter Stadium,TCU Horned Frogs,,USA,32.725700,-97.321400
Amsterdam ArenA,AFC Ajax,,NLD,42.969400,-74.122400
Anfield,Liverpool FC,,GBR,43.153200,-76.211600
Angel Stadium,L.A. Angels of Anaheim,,USA,33.831200,-117.867300
Ansan Wa~ Stadium,Hallelujah,,KOR,37.323600,126.821900
Antonio Vespucio Liberti,CA River Plate,,ARG,-34.587500,-58.672500
ANZ Stadium,National Stadium,,AUS,46.150000,-60.166700
Apogee Stadium,North Texas Mean Green,,USA,38.847500,-75.793200
Arena Barueri,Football-use,,BRA,-23.516700,-46.883300
Arena do Grêmio,Grêmio FBPA,,BRA,-30.033300,-51.200000
Arena Fonte Nova,EC Bahia,,BRA,-12.983300,-38.516700
Arena Lviv,Football-use,,UKR,49.840700,24.030500
Arizona Stadium,Arizona Wildcats,,USA,32.268600,-111.002200
Arlington Park,Horse-Racing use,,USA,42.113000,-87.980700
Arrowhead Stadium,Kansas City Chiefs,,USA,39.106800,-94.566000
Ascot Racecourse,Horse Racing-use,,GBR,-36.700000,144.333300
Asim Ferhatovic Hase,FK Sarajevo,,BIH,43.850000,18.383300
AT&T Park,San Francisco Giants,,USA,37.731200,-122.382600
Atatürk Olimpiyat Stadi,National Stadium,,TUR,41.018600,28.964700
Athens Olympic Stadium,AEK FC,,GRC,42.282300,-73.829400
Atlanta Motor Speedway,Race-use,,USA,37.062700,-76.405200
Auto Club Raceway,Race-use,,USA,34.039000,-117.754800
Auto Club Speedway,Race-use,,USA,34.088100,-117.464800
Autodromo di Monza,Race-use,,ITA,45.583300,9.266700
Autódromo Nelson Piquet,Race-use,,BRA,-22.900000,-43.233300
Autzen Stadium,Oregon Ducks,,USA,44.069000,-123.082500
Aviva Stadium,National Stadium,,IRL,40.117600,-83.126500
Azadi Stadium,Perspolis Tehran,,IRN,35.726100,51.330400
B. Snyder Family Stadium,Kansas State Wildcats,,USA,39.248300,-96.684900
Baba Yara Stadium,Asante Kotoko,,GHA,6.683300,-1.616700
Bangabandhu Stadium,Brothers Union,,BGD,23.723100,90.408600
Bank of America Stadium,Carolina Panthers,,USA,35.123200,-80.934300
Bao'an Stadium,Shenzhen Moutai Ruby,,CHN,22.533300,114.133300
BayArena,Bayer Leverkusen,,DEU,51.016700,6.983300
BC Place Stadium,BC Lions,,CAN,45.602300,-122.516700
Beaver Stadium,Penn State Nittany Lions,,USA,40.807700,-77.861400
Beijing National Stadium,National Stadium,,CHN,39.928900,116.388300
Belmont Park,Horse-Racing use,,USA,40.702100,-73.706200
Ben Hill Griffin Stadium,Florida Gators,,USA,34.313800,-83.809500
Besiktas Inönü Stadi,Besiktas JK,,TUR,41.018600,28.964700
BH Networks Stadium,UCF Knights,,USA,28.588300,-81.243900
Big Arch Stadium,Sanfrecce Hiroshima,,JPN,34.396300,132.459400
Big Crown Stadium,Ulsan Hyundai Tigers,,KOR,35.537200,129.316700
Bobby Dodd at Grant Field,GT Yellow Jackets,,USA,-25.207000,27.565500
Boleyn Ground,West Ham United,,GBR,-24.766700,30.866700
Boone Pickens Stadium,Oklahoma State Cowboys,,USA,36.188500,-97.057400
Borg el Arab Stadium,Football-use,,EGY,31.198100,29.919200
Boris Paichadze Stadium,National Stadium,,GEO,41.725000,44.790800
